Gene n.marker n.marker.test p.value
TECR 57 3 0.763912091058057
ZNF333 140 12 0.0438286187961342
ADGRE2 141 3 0.101075491555007
ADGRE3 110 8 0.51276883152433
ADGRE5 151 8 0.200480938425017
CLEC17A 69 7 0.602217030356239
DDX39A 68 5 1
DNAJB1 50 3 0.709098663483641
GIPC1 56 2 0.745907108212038
NDUFB7 21 5 0.83494646226231
PKN1 170 13 0.925975728881616
PTGER1 54 7 0.258980118057727
TECR 52 6 1
ZNF333 135 14 0.282961330330167
ADGRE2 135 8 0.684817223559382
ADGRE3 106 8 0.557118481000051
ADGRE5 145 12 0.580184965829348
CLEC17A 54 4 0.550622985937663
DDX39A 76 7 0.486210452541469
DNAJB1 55 4 0.609720553450258
GIPC1 57 7 0.435122700944923
NDUFB7 13 2 0.274317433582483
PKN1 142 11 1
PTGER1 68 5 0.115077885186844
TECR 43 5 0.583876691984583
ZNF333 142 10 0.752043334896691
ADGRE2 135 12 0.888774818490094
ADGRE3 125 3 0.584172952891342
ADGRE5 148 8 0.802541708548595
CLEC17A 62 3 0.521372853092498
DDX39A 69 6 0.594155687485419
DNAJB1 58 4 0.616269894445995
GIPC1 69 4 0.542338879344931
NDUFB7 16 1 0.385210566708214
PKN1 169 12 0.369628152908203
PTGER1 56 7 0.320490027213581
TECR 45 2 0.859761959301733
ZNF333 144 15 0.169606591278719
ADGRE2 129 11 0.186724149834108
ADGRE3 115 10 0.0703195514571984
ADGRE5 140 8 0.211748994307443
CLEC17A 56 5 0.405797837589348
DDX39A 70 4 0.850945530484986
DNAJB1 66 7 0.3023708054529
GIPC1 49 6 0.436886914089551
NDUFB7 23 1 0.928223480195246
PKN1 159 18 0.044193941210256
PTGER1 52 5 0.189408805666012
TECR 50 6 0.82760877298242
ZNF333 126 9 0.369399725914166
ADGRE2 134 12 0.826601793775867
ADGRE3 96 4 0.856248923512177
ADGRE5 130 7 0.675066549021938
CLEC17A 66 7 0.889886949464349
DDX39A 88 7 0.768772041080459
DNAJB1 56 5 0.181001710640779
GIPC1 63 7 0.554941890948826
NDUFB7 16 0 1
PKN1 174 14 0.347338491447273
PTGER1 66 5 0.380279862109909
TECR 54 9 0.839853529589968
ZNF333 128 8 0.365569241563807
ADGRE2 158 19 0.347972698179406
