gene fun syn ratio
ADGRE2 147 73 2.01369863013699
ADGRE3 119 50 2.38
ADGRE5 152 68 2.23529411764706
CLEC17A 54 22 2.45454545454545
DDX39A 61 29 2.10344827586207
DNAJB1 49 23 2.1304347826087
GIPC1 44 21 2.0952380952381
NDUFB7 18 10 1.8
PKN1 162 83 1.95180722891566
PTGER1 50 26 1.92307692307692
TECR 59 28 2.10714285714286
ZNF333 108 56 1.92857142857143
ADGRE2 139 59 2.35593220338983
ADGRE3 95 48 1.97916666666667
ADGRE5 142 66 2.15151515151515
CLEC17A 59 27 2.18518518518519
DDX39A 61 37 1.64864864864865
DNAJB1 56 26 2.15384615384615
GIPC1 53 31 1.70967741935484
NDUFB7 24 13 1.84615384615385
PKN1 132 84 1.57142857142857
PTGER1 54 32 1.6875
TECR 53 24 2.20833333333333
ZNF333 98 48 2.04166666666667
ADGRE2 153 67 2.28358208955224
ADGRE3 95 51 1.86274509803922
ADGRE5 141 53 2.66037735849057
CLEC17A 59 24 2.45833333333333
